CustomerID,Name,Region,JoinDate,LoyaltyPts,ContactMeth
1000,Robert Gomez,West,2/25/2024,516,Email
1001,John Silva,East,12/1/2020,856,Email
1002,Mark Marshall,Central,8/8/2020,784,Email
1003,David Brennan,North,5/21/2020,541,Phone
1004,Kerry Collins,North,9/12/2023,665,Phone
1005,Jessica Mora,South,8/5/2021,,Phone
1006,Hannah Ray,West,7/3/2021,368,Email
1007,David Kim,West,5/20/2020,852,Email
1008,William Ramirez,EAST,9/15/2023,671,Phone
1009,Zachary Bell Jr.,East,4/20/2023,862,Email
1010,Mike Davis,East,3/23/2022,305,Phone
1011,Amanda Myers,West,9/5/2021,5,Phone
1012,Tara Miller,North,8/10/2020,138,Email
1013,Alyssa Morgan,North,7/22/2022,652,Email
1014,Cindy Woods,East,4/2/2024,513,Phone
1015,Jennifer Rodgers,North,2/12/2023,235,Phone
1016,Andrea Roberts,EAST,5/16/2021,552,Email
1017,Brittney Burnett,North,7/3/2020,44,Email
1018,Edwin Garrison,south-west,8/31/2020,825,Phone
1019,Michelle Torres,Central,11/18/2020,903,Phone
1020,Michelle Brewer,East,7/14/2021,569,Phone
1021,Aaron Burnett,South,2/13/2024,410,Email
1022,Austin Gutierrez,EAST,11/25/2021,326,Email
1023,Dustin Medina,east,6/14/2021,384,Email
1024,Andres Avila,Central,9/19/2022,189,Phone
1025,Garrett Lewis,South,8/4/2023,826,Email
1026,Gary Walls,North,10/5/2023,71,Phone
1027,Anthony Schroeder,east,10/4/2020,544,Email
1028,Haley Wagner,West,11/3/2023,287,Phone
1029,Gina Powers,West,10/26/2022,912,Email
1030,Alice Robinson,EAST,8/6/2021,481,Phone
1031,Jessica Frazier,West,10/20/2021,42,Email
1032,Terri Long,east,10/23/2022,359,Phone
1033,Paul Perkins,east,3/16/2022,557,Phone
1034,Heather Smith,Central,9/16/2022,294,Email
1035,Lorraine Rodriguez,East,9/26/2022,275,Phone
1036,Robert Bishop,south-west,9/14/2020,642,Email
1037,Lisa Sanders,West,6/3/2020,821,Phone
1038,Jason Ford,EAST,10/9/2023,504,Email
1039,Brandy Good,West,5/21/2023,908,Email
1040,Angel Lee,Central,4/8/2022,914,Email
1041,David Beltran,east,1/18/2021,339,Phone
1042,Christopher Dodson,North,10/30/2023,840,Email
1043,Eric Pena,West,6/30/2022,222,Email
1044,Anita Huerta,East,4/8/2022,995,Phone
1045,Dr. Susan Bailey,North,10/2/2020,480,Email
1046,Tyler Colon,Central,3/3/2021,89,Phone
1047,Ashley Pearson,West,10/4/2020,231,Phone
1048,Dr. Donald Proctor,North,3/17/2024,205,Phone
1049,Rebecca Jordan,West,10/8/2022,47,Phone
1050,Jeffrey Mclaughlin,EAST,3/28/2022,807,Phone
1051,Amy Nguyen,Central,2/13/2024,720,Email
1052,Brandon Hinton,south-west,11/10/2022,862,Email
1053,Benjamin Cline,east,1/25/2022,420,Email
1054,Laura Mcdonald,South,12/3/2022,651,Phone
1055,William Benitez,east,11/4/2020,250,Email
1056,Kristina Wilson,east,5/15/2023,812,Email
1057,Kathy Hall,North,10/27/2023,211,Phone
1058,Steven Jackson,Central,6/26/2020,282,Email
1059,Steve Massey,West,8/6/2020,253,Phone
1060,Mr. Christopher Thompson,South,4/10/2023,716,Email
1061,Taylor Kaufman,North,7/23/2021,120,Email
1062,Ashley Harmon,South,2/13/2024,417,Phone
1063,Howard Case,south-west,2/15/2021,708,Email
1064,Joshua Cline,EAST,2/19/2024,131,Phone
1065,Daniel Adams,Central,7/2/2023,893,Phone
1066,Derrick Myers,North,4/6/2022,458,Email
1067,Lawrence Pearson,east,4/29/2023,506,Email
1068,Melissa Gutierrez,East,12/25/2023,914,Email
1069,Virginia Warren,North,8/24/2023,659,Phone
1070,Brittany Johnson,East,6/4/2021,120,Email
1071,Christopher Frost,east,8/21/2020,736,Email
1072,Shannon Schmitt,EAST,8/23/2022,334,Email
1073,Matthew Clark,Central,8/21/2023,830,Email
1074,Alyssa Evans,West,10/27/2021,962,Email
1075,Joseph Chavez,North,1/1/2023,605,Phone
1076,Glenn Shelton,east,5/1/2024,154,Email
1077,Amy Espinoza,North,5/29/2021,377,Phone
1078,Danielle Fuller,south-west,12/8/2023,634,Email
1079,Zachary Thompson MD,EAST,9/5/2022,716,Email
1080,Thomas Parker,south-west,2/28/2023,947,Phone
1081,Ryan White,South,9/4/2020,356,Email
1082,Connor Martin,Central,1/5/2023,183,Phone
1083,Jacqueline Bishop,South,6/5/2020,178,Email
1084,Martha Mccall,North,5/31/2022,520,Email
1085,Steven Wright,Central,8/22/2021,843,Phone
1086,Robert Rodriguez,EAST,3/1/2023,821,Phone
1087,Carla Tran,EAST,7/22/2020,784,Email
1088,Lindsay Torres,east,12/30/2021,246,Email
1089,Matthew Hernandez,North,4/12/2023,788,Email
1090,Nicholas Dunlap,South,10/11/2020,947,Phone
1091,Brianna Thomas,south-west,5/23/2023,754,Email
1092,Timothy Hill,West,9/7/2023,802,Email
1093,Christian Medina,East,2/4/2023,159,Phone
1094,Robert Jones,West,11/18/2023,708,Email
1095,Dr. Jason Scott,South,4/7/2021,766,Email
1096,Patricia Rogers,South,1/10/2024,840,Email
